month	gs_interactions	gs_pageviews	gs_previews	gn_interactions	gn_pageviews	gn_previews
2016-07-01						
2016-08-01						
2016-09-01		3,509,314,705				
2016-10-01		3,649,168,724				
2016-11-01		3,682,761,207				
2016-12-01		3,397,813,382				
2017-01-01		3,574,550,639				
2017-02-01		3,462,094,695				
2017-03-01		3,856,409,737				
2017-04-01		3,516,972,968				
2017-05-01		3,731,869,502				
2017-06-01		3,418,858,552				
2017-07-01		3,351,665,030				
2017-08-01		3,469,253,996				
2017-09-01		3,543,282,023				
2017-10-01		3,743,198,521				
2017-11-01		3,685,996,452				
2017-12-01		3,332,172,190				
2018-01-01		3,609,362,635			13,050,222,278	
2018-02-01		3,373,047,904			11,457,911,637	
2018-03-01		3,707,295,920			12,469,240,372	
2018-04-01	3,911,443,844	3,605,744,371	305,699,473	12,773,134,836	11,795,327,218	977,807,618
2018-05-01	4,321,566,806	3,870,755,032	450,811,774	13,676,354,654	12,167,870,990	1,508,483,664
2018-06-01	3,987,921,459	3,577,087,164	410,834,295	12,718,844,128	11,359,907,720	1,358,936,408
2018-07-01	4,056,722,650	3,664,867,927	391,854,723	12,916,580,060	11,648,590,371	1,267,989,689
2018-08-01	4,135,632,404	3,749,392,093	386,240,311	12,685,627,921	11,425,198,374	1,260,429,547
2018-09-01	4,246,181,686	3,870,188,912	375,992,774	12,420,199,448	11,162,175,275	1,258,024,173
2018-10-01	4,454,386,356	4,052,061,903	402,324,453	13,253,387,587	11,849,777,007	1,403,610,580
2018-11-01	4,341,707,471	3,946,793,130	394,914,341	13,269,139,882	11,850,162,195	1,418,977,687
2018-12-01	4,025,161,324	3,669,639,793	355,521,531	12,183,889,790	10,934,123,010	1,249,766,780
2019-01-01	4,253,901,798	3,864,438,741	389,463,057	14,503,643,891	12,939,311,469	1,564,332,422
2019-02-01	3,936,263,091	3,578,825,856	357,437,235	12,745,265,778	11,369,352,147	1,375,913,631
2019-03-01	4,341,290,576	3,950,836,410	390,454,166	13,798,816,116	12,326,656,253	1,472,159,863
2019-04-01	4,091,982,306	3,721,100,969	370,881,337	13,279,873,553	11,896,090,513	1,383,783,040
2019-05-01	4,226,723,078	3,837,559,183	389,163,895	13,899,316,725	12,442,799,823	1,456,516,902
2019-06-01	3,785,371,642	3,442,174,949	343,196,693	12,619,465,073	11,357,433,851	1,262,031,222
2019-07-01	3,913,795,202	3,552,435,830	361,359,372	13,039,283,488	11,762,144,034	1,277,139,454
2019-08-01	3,986,865,608	3,624,498,717	362,366,891	13,003,680,898	11,734,256,051	1,269,424,847
2019-09-01	4,131,243,234	3,741,500,780	389,742,454	13,122,215,704	11,743,463,445	1,378,752,259
2019-10-01	4,311,098,504	3,906,008,431	405,090,073	14,285,260,668	12,758,372,050	1,526,888,618
2019-11-01	4,096,323,991	3,705,913,790	390,410,201	13,993,687,818	12,479,106,602	1,514,581,216
2019-12-01	3,724,966,996	3,364,769,254	360,197,742	13,686,322,951	12,243,151,068	1,443,171,883
2020-01-01	3,998,114,306	3,601,104,451	397,009,855	15,150,851,558	13,455,898,498	1,694,953,060
2020-02-01	3,805,531,403	3,431,799,443	373,731,960	13,819,091,326	12,265,814,705	1,553,276,621
2020-03-01	4,306,498,466	3,891,817,173	414,681,293	15,065,825,404	13,385,982,861	1,679,842,543
